"RelativePath","Length","LastWriteTime"
"docs/_inventory_list.csv","0","11/20/2025 8:09:14 AM"
"docs/_inventory_tree.txt","2890","11/20/2025 8:09:14 AM"
"docs/ifns/sot/IFNS_SoT_Handover_and_Integration_Guide_v1_0.md","10058","11/19/2025 1:05:37 PM"
"docs/ifns/sot/IFNS_SoT_Hierarchy_and_Naming_Convention_v0_1.md","3144","11/19/2025 12:54:13 PM"
"docs/ifns/sot/IFNS_UI_Master_SoT_Home_Layout.md","4922","11/19/2025 10:40:26 AM"
"docs/ifns/sot/phases/Core_ML_Phase6_Runtime_Templates_Split_Kit.md","12243","11/19/2025 11:39:22 AM"
"docs/ifns/sot/phases/IFNS_SoT_Missing_Assets_Report_v0_1.md","12231","11/19/2025 12:53:05 PM"
"docs/ifns/sot/phases/IFNS_UI_Master_SoT_Reading_Guide_v0_1.md","11411","11/19/2025 12:11:34 PM"
"docs/ifns/sot/phases/QC_Weekly_Telemetry_V1_Spec_Kit.md","1980","11/19/2025 12:16:17 PM"
"docs/ifns/sot/phases/Step_01_Preface_Integration_Narrative_Split_Kit.md","3917","11/19/2025 11:34:23 AM"
"docs/ifns/sot/phases/Step_02_Executive_Summary_Narrative_Split_Kit.md","3884","11/19/2025 11:16:04 AM"
"docs/ifns/sot/phases/Step_03_Visionary_Technical_Narrative_Split_Kit.md","8482","11/19/2025 11:13:36 AM"
"docs/ifns/sot/phases/Step_04_Timeline_Narrative_Split_Kit.md","10919","11/19/2025 11:27:18 AM"
"docs/ifns/sot/phases/Step_05_Operational_Genesis_Narrative_Split_Kit.md","7622","11/19/2025 11:54:02 AM"
"docs/ifns/sot/phases/Step_06_System_Architecture_Narrative_Split_Kit.md","10496","11/19/2025 11:50:42 AM"
"docs/ifns/sot/phases/Step_07_DIL_Narrative_Split_Kit.md","9458","11/19/2025 10:41:53 AM"
"docs/ifns/sot/phases/Step_08_MI_Narrative_Split_Kit.md","10004","11/19/2025 11:03:19 AM"
"docs/ifns/sot/phases/Step_09_EI_Narrative_Split_Kit.md","9169","11/19/2025 11:05:36 AM"
"docs/ifns/sot/phases/Step_10_MSA_Narrative_Split_Kit.md","8415","11/19/2025 11:44:01 AM"
"docs/ifns/sot/phases/Step_11_MSI_Narrative_Split_Kit.md","9355","11/19/2025 11:46:22 AM"
"docs/ifns/sot/phases/Step_12_DRA_Narrative_Split_Kit.md","9235","11/19/2025 11:08:44 AM"
"docs/ifns/sot/phases/Step_13_SEL_Narrative_Split_Kit.md","9572","11/19/2025 11:11:08 AM"
"docs/ifns/sot/phases/Step_14_Advanced_Awareness_Narrative_Split_Kit.md","8975","11/19/2025 12:00:57 PM"
